Query,Page,Clicks,Impressions,CTR,Position
ניהול סושיאל מדיה לעסקים,https://www.example.co.il/חבילות,12,680,1.76%,8.9
סוכנות סושיאל מדיה,https://www.example.co.il/,6,590,1.02%,11.6
צילום תדמית לעסק,https://www.example.co.il/מיתוג,4,410,0.98%,13.7
סרטון תדמית לעסק,https://www.example.co.il/חבילות,3,380,0.79%,14.9
סדנת טיקטוק לעסקים,https://www.example.co.il/סדנאות,3,420,0.71%,9.9
ניהול טיקטוק לעסק,https://www.example.co.il/חבילות,2,360,0.56%,17.3
יצירת תוכן לעסקים,https://www.example.co.il/,8,390,2.05%,7.5
סוכנות משפיענים בישראל,https://www.example.co.il/משפיענים,1,280,0.36%,18.6
חבילות ניהול סושיאל,https://www.example.co.il/חבילות,14,300,4.67%,5.4
אותנטיקס ישראל,https://www.example.co.il/,42,190,22.11%,1.2
רילס לעסקים,https://www.example.co.il/חבילות,6,460,1.30%,12.1
הפקת סרטונים לעסק,https://www.example.co.il/חבילות,8,530,1.51%,10.6

